timestamp	file	round	quality	density	status	description
2026-04-01 16:27:59	N01_intelligence\schemas\research_brief_contract.md	1	8.7	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:27:59	N01_intelligence\schemas\research_brief_contract.md	2	8.7	1.00	discard	polished formatting (whitespace cleanup)
2026-04-01 16:28:00	N01_intelligence\schemas\research_brief_contract.md	3	8.7	1.00	discard	polished formatting (whitespace cleanup)
2026-04-01 16:33:50	C:\Users\PC\AppData\Local\Temp\pytest-of-PC\pytest-2349\test_already_at_target0\scored.md	0	9.2	1.00	skip	already at target
2026-04-01 16:33:51	C:\Users\PC\AppData\Local\Temp\pytest-of-PC\pytest-2349\test_returns_dict0\test_artifact.md	1	8.5	0.97	keep	polished formatting (whitespace cleanup)
2026-04-01 16:36:58	C:\Users\PC\AppData\Local\Temp\pytest-of-PC\pytest-2350\test_already_at_target0\scored.md	0	9.2	1.00	skip	already at target
2026-04-01 16:36:59	C:\Users\PC\AppData\Local\Temp\pytest-of-PC\pytest-2350\test_returns_dict0\test_artifact.md	1	8.5	0.97	keep	polished formatting (whitespace cleanup)
2026-04-01 16:42:25	C:\Users\PC\AppData\Local\Temp\pytest-of-PC\pytest-2351\test_already_at_target0\scored.md	0	9.2	1.00	skip	already at target
2026-04-01 16:42:26	C:\Users\PC\AppData\Local\Temp\pytest-of-PC\pytest-2351\test_returns_dict0\test_artifact.md	1	8.5	0.97	keep	polished formatting (whitespace cleanup)
2026-04-01 16:46:48	C:\Users\PC\AppData\Local\Temp\pytest-of-PC\pytest-2352\test_already_at_target0\scored.md	0	9.2	1.00	skip	already at target
2026-04-01 16:46:48	C:\Users\PC\AppData\Local\Temp\pytest-of-PC\pytest-2352\test_returns_dict0\test_artifact.md	1	8.5	0.97	keep	polished formatting (whitespace cleanup)
2026-04-01 16:48:41	C:\Users\PC\Documents\GitHub\cex\.claude\agents\skill-builder.md	1	8.5	1.00	keep	analyzed: fix_frontmatter: missing title
2026-04-01 16:48:42	C:\Users\PC\Documents\GitHub\cex\.claude\agents\skill-builder.md	2	8.5	1.00	discard	analyzed: fix_frontmatter: missing title
2026-04-01 16:48:42	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\action-prompt-builder\bld_quality_gate_action_prompt.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:48:43	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\action-prompt-builder\bld_quality_gate_action_prompt.md	2	8.8	1.00	discard	polished formatting (whitespace cleanup)
2026-04-01 16:48:43	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\action-prompt-builder\bld_system_prompt_action_prompt.md	1	8.8	0.88	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:43	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\action-prompt-builder\bld_system_prompt_action_prompt.md	2	8.8	0.88	discard	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:44	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-builder\bld_quality_gate_agent.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:48:44	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-builder\bld_quality_gate_agent.md	2	8.8	1.00	discard	polished formatting (whitespace cleanup)
2026-04-01 16:48:45	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-builder\bld_system_prompt_agent.md	1	8.8	0.87	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:45	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-builder\bld_system_prompt_agent.md	2	8.8	0.87	discard	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:46	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-card-builder\bld_instruction_agent_card.md	1	8.8	0.96	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:46	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-card-builder\bld_instruction_agent_card.md	2	8.8	0.96	discard	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:47	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-card-builder\bld_quality_gate_agent_card.md	1	8.8	0.96	keep	analyzed: add_tags: minimum 3 tags required
2026-04-01 16:48:47	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-card-builder\bld_quality_gate_agent_card.md	2	8.8	0.96	discard	analyzed: add_tags: minimum 3 tags required
2026-04-01 16:48:47	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-card-builder\bld_system_prompt_agent_card.md	1	8.8	0.89	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:48	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-card-builder\bld_system_prompt_agent_card.md	2	8.8	0.89	discard	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:48	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-package-builder\bld_quality_gate_agent_package.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:48:48	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-package-builder\bld_quality_gate_agent_package.md	2	8.8	1.00	discard	polished formatting (whitespace cleanup)
2026-04-01 16:48:49	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-package-builder\bld_system_prompt_agent_package.md	1	8.8	0.78	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:49	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\agent-package-builder\bld_system_prompt_agent_package.md	2	8.8	0.78	discard	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:50	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\api-client-builder\bld_quality_gate_api_client.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:48:50	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\api-client-builder\bld_quality_gate_api_client.md	2	8.8	1.00	discard	polished formatting (whitespace cleanup)
2026-04-01 16:48:51	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\api-client-builder\bld_system_prompt_api_client.md	1	8.8	0.92	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:51	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\api-client-builder\bld_system_prompt_api_client.md	2	8.8	0.92	discard	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:52	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\audio-tool-builder\bld_quality_gate_audio_tool.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:48:52	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\audio-tool-builder\bld_quality_gate_audio_tool.md	2	8.8	1.00	discard	polished formatting (whitespace cleanup)
2026-04-01 16:48:52	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\audio-tool-builder\bld_system_prompt_audio_tool.md	1	8.8	0.98	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:53	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\audio-tool-builder\bld_system_prompt_audio_tool.md	2	8.8	0.98	discard	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:53	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\axiom-builder\bld_quality_gate_axiom.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:48:53	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\axiom-builder\bld_quality_gate_axiom.md	2	8.8	1.00	discard	polished formatting (whitespace cleanup)
2026-04-01 16:48:54	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\axiom-builder\bld_system_prompt_axiom.md	1	8.8	0.81	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:54	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\axiom-builder\bld_system_prompt_axiom.md	2	8.8	0.81	discard	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:55	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\benchmark-builder\bld_quality_gate_benchmark.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:48:55	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\benchmark-builder\bld_quality_gate_benchmark.md	2	8.8	1.00	discard	polished formatting (whitespace cleanup)
2026-04-01 16:48:56	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\benchmark-builder\bld_system_prompt_benchmark.md	1	8.8	0.90	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:56	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\benchmark-builder\bld_system_prompt_benchmark.md	2	8.8	0.90	discard	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:56	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\boot-config-builder\bld_quality_gate_boot_config.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:48:57	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\boot-config-builder\bld_quality_gate_boot_config.md	2	8.8	1.00	discard	polished formatting (whitespace cleanup)
2026-04-01 16:48:57	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\boot-config-builder\bld_system_prompt_boot_config.md	1	8.8	0.85	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:48:58	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\boot-config-builder\bld_system_prompt_boot_config.md	2	8.8	0.85	discard	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:04	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\brain-index-builder\bld_quality_gate_brain_index.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:05	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\brain-index-builder\bld_system_prompt_brain_index.md	1	8.8	0.88	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:05	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\browser-tool-builder\bld_quality_gate_browser_tool.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:06	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\browser-tool-builder\bld_system_prompt_browser_tool.md	1	8.8	0.95	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:07	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\bugloop-builder\bld_quality_gate_bugloop.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:07	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\bugloop-builder\bld_system_prompt_bugloop.md	1	8.7	0.86	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:08	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\chain-builder\bld_quality_gate_chain.md	1	8.8	0.98	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:08	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\chain-builder\bld_system_prompt_chain.md	1	8.8	0.88	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:09	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\checkpoint-builder\bld_quality_gate_checkpoint.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:09	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\checkpoint-builder\bld_system_prompt_checkpoint.md	1	8.8	0.92	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:10	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\chunk-strategy-builder\bld_quality_gate_chunk_strategy.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:10	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\chunk-strategy-builder\bld_system_prompt_chunk_strategy.md	1	8.7	0.81	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:11	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\cli-tool-builder\bld_quality_gate_cli_tool.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:11	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\cli-tool-builder\bld_system_prompt_cli_tool.md	1	8.8	0.90	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:12	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\code-executor-builder\bld_quality_gate_code_executor.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:12	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\code-executor-builder\bld_system_prompt_code_executor.md	1	8.7	0.91	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:13	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\component-map-builder\bld_quality_gate_component_map.md	1	8.8	0.99	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:14	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\component-map-builder\bld_system_prompt_component_map.md	1	8.8	0.82	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:14	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\computer-use-builder\bld_quality_gate_computer_use.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:15	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\computer-use-builder\bld_system_prompt_computer_use.md	1	8.7	0.89	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:15	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\constraint-spec-builder\bld_quality_gate_constraint_spec.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:16	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\constraint-spec-builder\bld_system_prompt_constraint_spec.md	1	8.7	0.82	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:16	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\content-monetization-builder\bld_quality_gate_content_monetization.md	1	8.9	1.00	keep	analyzed: add_hard_gates: quality gates need hard pass/fail checks
2026-04-01 16:49:17	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\content-monetization-builder\bld_system_prompt_content_monetization.md	1	8.8	0.94	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:17	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\context-doc-builder\bld_quality_gate_context_doc.md	1	8.8	0.98	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:18	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\context-doc-builder\bld_system_prompt_context_doc.md	1	8.8	0.83	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:18	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\daemon-builder\bld_quality_gate_daemon.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:19	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\daemon-builder\bld_system_prompt_daemon.md	1	8.8	0.75	keep	analyzed: increase_density: remove filler words, compress prose into tables
2026-04-01 16:49:19	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\dag-builder\bld_quality_gate_dag.md	1	8.8	0.99	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:20	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\dag-builder\bld_system_prompt_dag.md	1	8.8	0.79	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:21	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\db-connector-builder\bld_quality_gate_db_connector.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:21	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\db-connector-builder\bld_system_prompt_db_connector.md	1	8.8	0.90	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:22	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\decision-record-builder\bld_quality_gate_decision_record.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:22	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\decision-record-builder\bld_system_prompt_decision_record.md	1	8.8	0.96	keep	analyzed: reduce_prose: convert long prose sections into tables or bullet lists
2026-04-01 16:49:23	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\diagram-builder\bld_quality_gate_diagram.md	1	8.8	1.00	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:23	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\diagram-builder\bld_system_prompt_diagram.md	1	8.8	0.82	keep	analyzed: increase_density: remove filler words, compress prose into tables
2026-04-01 16:49:24	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\dispatch-rule-builder\bld_quality_gate_dispatch_rule.md	1	8.8	0.99	keep	polished formatting (whitespace cleanup)
2026-04-01 16:49:24	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\dispatch-rule-builder\bld_system_prompt_dispatch_rule.md	1	8.8	0.77	keep	analyzed: increase_density: remove filler words, compress prose into tables
2026-04-01 16:49:25	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\document-loader-builder\bld_architecture_document_loader.md	1	8.9	1.00	keep	added density_score: 1.0
2026-04-01 16:49:25	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\document-loader-builder\bld_collaboration_document_loader.md	1	8.9	1.00	keep	added density_score: 1.0
2026-04-01 16:49:26	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\document-loader-builder\bld_config_document_loader.md	1	8.8	1.00	keep	added density_score: 1.0
2026-04-01 16:49:26	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\document-loader-builder\bld_examples_document_loader.md	1	8.9	1.00	keep	added density_score: 1.0
2026-04-01 16:49:27	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\document-loader-builder\bld_instruction_document_loader.md	1	8.8	0.86	keep	added density_score: 0.86
2026-04-01 16:49:28	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\document-loader-builder\bld_knowledge_card_document_loader.md	1	8.9	1.00	keep	added density_score: 1.0
2026-04-01 16:49:28	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\document-loader-builder\bld_memory_document_loader.md	1	8.8	0.99	keep	added density_score: 0.99
2026-04-01 16:49:29	C:\Users\PC\Documents\GitHub\cex\archetypes\builders\document-loader-builder\bld_output_template_document_loader.md	1	8.8	1.00	keep	added density_score: 1.0
