builder,iso_file,score,size_bytes,notes
voice-pipeline-builder,bld_architecture_voice_pipeline.md,9.1,4028,OK
voice-pipeline-builder,bld_collaboration_voice_pipeline.md,8.9,2005,OK
voice-pipeline-builder,bld_config_voice_pipeline.md,8.8,1182,OK
voice-pipeline-builder,bld_examples_voice_pipeline.md,9.1,4215,density_warn
voice-pipeline-builder,bld_instruction_voice_pipeline.md,9.0,2474,OK
voice-pipeline-builder,bld_knowledge_card_voice_pipeline.md,9.2,5649,OK
voice-pipeline-builder,bld_manifest_voice_pipeline.md,9.1,2410,OK
voice-pipeline-builder,bld_memory_voice_pipeline.md,9.2,3679,density_warn
voice-pipeline-builder,bld_output_template_voice_pipeline.md,9.1,6712,size_warn
voice-pipeline-builder,bld_quality_gate_voice_pipeline.md,9.1,3939,OK
voice-pipeline-builder,bld_schema_voice_pipeline.md,9.1,2963,OK
voice-pipeline-builder,bld_system_prompt_voice_pipeline.md,9.1,4515,OK
voice-pipeline-builder,bld_tools_voice_pipeline.md,9.1,4271,density_warn
realtime-session-builder,bld_architecture_realtime_session.md,9.1,3688,OK
realtime-session-builder,bld_collaboration_realtime_session.md,9.0,2756,OK
realtime-session-builder,bld_config_realtime_session.md,8.7,1160,density_warn
realtime-session-builder,bld_examples_realtime_session.md,9.1,3939,density_warn
realtime-session-builder,bld_instruction_realtime_session.md,9.1,3575,OK
realtime-session-builder,bld_knowledge_card_realtime_session.md,9.2,5724,OK
realtime-session-builder,bld_manifest_realtime_session.md,9.1,2608,OK
realtime-session-builder,bld_memory_realtime_session.md,9.2,4399,OK
realtime-session-builder,bld_output_template_realtime_session.md,9.1,3506,OK
realtime-session-builder,bld_quality_gate_realtime_session.md,9.1,3304,OK
realtime-session-builder,bld_schema_realtime_session.md,9.2,3986,OK
realtime-session-builder,bld_system_prompt_realtime_session.md,9.2,4293,OK
realtime-session-builder,bld_tools_realtime_session.md,9.1,4265,density_warn
vad-config-builder,bld_architecture_vad_config.md,9.0,2516,OK
vad-config-builder,bld_collaboration_vad_config.md,8.9,1645,OK
vad-config-builder,bld_config_vad_config.md,8.6,777,OK
vad-config-builder,bld_examples_vad_config.md,8.8,1338,OK
vad-config-builder,bld_instruction_vad_config.md,8.8,1659,OK
vad-config-builder,bld_knowledge_card_vad_config.md,9.2,5906,OK
vad-config-builder,bld_manifest_vad_config.md,8.8,1784,OK
vad-config-builder,bld_memory_vad_config.md,8.7,1595,OK
vad-config-builder,bld_output_template_vad_config.md,9.0,2349,OK
vad-config-builder,bld_quality_gate_vad_config.md,9.0,3045,OK
vad-config-builder,bld_schema_vad_config.md,9.1,2791,OK
vad-config-builder,bld_system_prompt_vad_config.md,8.9,2521,OK
vad-config-builder,bld_tools_vad_config.md,8.9,1517,OK
tts-provider-builder,bld_architecture_tts_provider.md,9.0,2583,OK
tts-provider-builder,bld_collaboration_tts_provider.md,8.9,1512,OK
tts-provider-builder,bld_config_tts_provider.md,8.6,770,OK
tts-provider-builder,bld_examples_tts_provider.md,8.8,1745,OK
tts-provider-builder,bld_instruction_tts_provider.md,8.9,1947,OK
tts-provider-builder,bld_knowledge_card_tts_provider.md,9.2,7003,size_warn
tts-provider-builder,bld_manifest_tts_provider.md,8.8,1910,OK
tts-provider-builder,bld_memory_tts_provider.md,8.7,1572,OK
tts-provider-builder,bld_output_template_tts_provider.md,9.1,4137,OK
tts-provider-builder,bld_quality_gate_tts_provider.md,9.1,3201,OK
tts-provider-builder,bld_schema_tts_provider.md,9.1,2737,OK
tts-provider-builder,bld_system_prompt_tts_provider.md,8.8,1918,OK
tts-provider-builder,bld_tools_tts_provider.md,8.9,1482,OK
stt-provider-builder,bld_architecture_stt_provider.md,8.9,1830,OK
stt-provider-builder,bld_collaboration_stt_provider.md,8.9,1434,OK
stt-provider-builder,bld_config_stt_provider.md,8.6,886,OK
stt-provider-builder,bld_examples_stt_provider.md,8.8,1649,OK
stt-provider-builder,bld_instruction_stt_provider.md,8.9,2215,OK
stt-provider-builder,bld_knowledge_card_stt_provider.md,9.2,5265,OK
stt-provider-builder,bld_manifest_stt_provider.md,8.8,1862,OK
stt-provider-builder,bld_memory_stt_provider.md,8.7,1503,OK
stt-provider-builder,bld_output_template_stt_provider.md,8.9,1892,OK
stt-provider-builder,bld_quality_gate_stt_provider.md,9.0,2277,OK
stt-provider-builder,bld_schema_stt_provider.md,9.1,3067,OK
stt-provider-builder,bld_system_prompt_stt_provider.md,8.8,1644,OK
stt-provider-builder,bld_tools_stt_provider.md,8.9,1804,OK
prosody-config-builder,bld_architecture_prosody_config.md,8.9,1913,OK
prosody-config-builder,bld_collaboration_prosody_config.md,8.9,1584,OK
prosody-config-builder,bld_config_prosody_config.md,8.6,809,OK
prosody-config-builder,bld_examples_prosody_config.md,9.0,3137,OK
prosody-config-builder,bld_instruction_prosody_config.md,8.9,2646,OK
prosody-config-builder,bld_knowledge_card_prosody_config.md,9.2,6304,size_warn
prosody-config-builder,bld_manifest_prosody_config.md,8.8,1708,OK
prosody-config-builder,bld_memory_prosody_config.md,8.7,1781,OK
prosody-config-builder,bld_output_template_prosody_config.md,8.8,1768,OK
prosody-config-builder,bld_quality_gate_prosody_config.md,9.1,3136,OK
prosody-config-builder,bld_schema_prosody_config.md,9.1,2896,OK
prosody-config-builder,bld_system_prompt_prosody_config.md,8.8,1902,OK
prosody-config-builder,bld_tools_prosody_config.md,8.9,1560,OK
transport-config-builder,bld_architecture_transport_config.md,9.1,3098,OK
transport-config-builder,bld_collaboration_transport_config.md,8.9,1536,OK
transport-config-builder,bld_config_transport_config.md,8.6,854,OK
transport-config-builder,bld_examples_transport_config.md,9.0,4107,density_warn
transport-config-builder,bld_instruction_transport_config.md,8.8,1692,OK
transport-config-builder,bld_knowledge_card_transport_config.md,9.2,9215,size_warn
transport-config-builder,bld_manifest_transport_config.md,8.8,1851,OK
transport-config-builder,bld_memory_transport_config.md,8.7,1643,OK
transport-config-builder,bld_output_template_transport_config.md,9.0,5092,OK
transport-config-builder,bld_quality_gate_transport_config.md,9.0,2654,OK
transport-config-builder,bld_schema_transport_config.md,9.1,2940,density_warn
transport-config-builder,bld_system_prompt_transport_config.md,9.1,3118,OK
transport-config-builder,bld_tools_transport_config.md,8.9,1643,OK
edit-format-builder,bld_architecture_edit_format.md,9.0,2949,OK
edit-format-builder,bld_collaboration_edit_format.md,9.0,2446,OK
edit-format-builder,bld_config_edit_format.md,8.6,855,density_warn
edit-format-builder,bld_examples_edit_format.md,9.1,5127,density_warn
edit-format-builder,bld_instruction_edit_format.md,8.9,1940,OK
edit-format-builder,bld_knowledge_card_edit_format.md,9.2,6890,size_warn
edit-format-builder,bld_manifest_edit_format.md,8.8,1607,OK
edit-format-builder,bld_memory_edit_format.md,8.7,1577,OK
edit-format-builder,bld_output_template_edit_format.md,9.1,5073,density_warn
edit-format-builder,bld_quality_gate_edit_format.md,9.0,2139,OK
edit-format-builder,bld_schema_edit_format.md,9.2,3474,OK
edit-format-builder,bld_system_prompt_edit_format.md,9.1,3257,OK
edit-format-builder,bld_tools_edit_format.md,8.9,1718,OK
diff-strategy-builder,bld_architecture_diff_strategy.md,9.0,2800,OK
diff-strategy-builder,bld_collaboration_diff_strategy.md,8.9,1244,OK
diff-strategy-builder,bld_config_diff_strategy.md,8.6,757,OK
diff-strategy-builder,bld_examples_diff_strategy.md,9.1,3507,OK
diff-strategy-builder,bld_instruction_diff_strategy.md,8.9,2276,OK
diff-strategy-builder,bld_knowledge_card_diff_strategy.md,9.1,4265,OK
diff-strategy-builder,bld_manifest_diff_strategy.md,8.8,1682,OK
diff-strategy-builder,bld_memory_diff_strategy.md,8.7,1415,OK
diff-strategy-builder,bld_output_template_diff_strategy.md,9.1,2417,OK
diff-strategy-builder,bld_quality_gate_diff_strategy.md,9.1,3328,OK
diff-strategy-builder,bld_schema_diff_strategy.md,9.1,3680,OK
diff-strategy-builder,bld_system_prompt_diff_strategy.md,9.0,2156,OK
diff-strategy-builder,bld_tools_diff_strategy.md,9.1,3638,OK
sandbox-config-builder,bld_architecture_sandbox_config.md,8.9,1638,OK
sandbox-config-builder,bld_collaboration_sandbox_config.md,8.9,1468,OK
sandbox-config-builder,bld_config_sandbox_config.md,8.6,809,OK
sandbox-config-builder,bld_examples_sandbox_config.md,9.0,4032,density_warn
sandbox-config-builder,bld_instruction_sandbox_config.md,8.9,2669,OK
sandbox-config-builder,bld_knowledge_card_sandbox_config.md,9.2,6462,size_warn
sandbox-config-builder,bld_manifest_sandbox_config.md,8.8,1700,OK
sandbox-config-builder,bld_memory_sandbox_config.md,8.7,1655,OK
sandbox-config-builder,bld_output_template_sandbox_config.md,9.1,3314,OK
sandbox-config-builder,bld_quality_gate_sandbox_config.md,9.0,2716,OK
sandbox-config-builder,bld_schema_sandbox_config.md,9.1,2620,OK
sandbox-config-builder,bld_system_prompt_sandbox_config.md,8.9,2039,OK
sandbox-config-builder,bld_tools_sandbox_config.md,9.0,2969,OK
repo-map-builder,bld_architecture_repo_map.md,8.9,1815,OK
repo-map-builder,bld_collaboration_repo_map.md,8.9,1350,OK
repo-map-builder,bld_config_repo_map.md,8.6,807,OK
repo-map-builder,bld_examples_repo_map.md,9.1,4322,density_warn
repo-map-builder,bld_instruction_repo_map.md,9.1,3433,OK
repo-map-builder,bld_knowledge_card_repo_map.md,9.2,6924,size_warn+density_warn
repo-map-builder,bld_manifest_repo_map.md,8.8,1613,OK
repo-map-builder,bld_memory_repo_map.md,8.7,1504,OK
repo-map-builder,bld_output_template_repo_map.md,9.1,3833,OK
repo-map-builder,bld_quality_gate_repo_map.md,9.0,2495,OK
repo-map-builder,bld_schema_repo_map.md,9.1,2869,OK
repo-map-builder,bld_system_prompt_repo_map.md,8.8,1761,OK
repo-map-builder,bld_tools_repo_map.md,9.1,3290,density_warn
agent-computer-interface-builder (partial),bld_instruction_agent_computer_interface.md,8.8,1854,OK
agent-computer-interface-builder (partial),bld_manifest_agent_computer_interface.md,8.8,1723,OK
agent-computer-interface-builder (partial),bld_output_template_agent_computer_interface.md,8.8,1165,OK
agent-computer-interface-builder (partial),bld_quality_gate_agent_computer_interface.md,8.9,1321,OK
agent-computer-interface-builder (partial),bld_schema_agent_computer_interface.md,8.6,771,OK
agent-computer-interface-builder (partial),bld_system_prompt_agent_computer_interface.md,8.8,1949,OK
